地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候コード,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域）,ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,大腸菌群数,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,底層ＤＯ,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒,硝酸性窒素,透視度(河川･湖沼),ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン,ジブロモクロロメタン,ブロモホルム生成能,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,ＰＦОＳ,ＰＦОＳ（直鎖体）,ＰＦОＡ,ＰＦОＡ（直鎖体）,ＰＦОＳ及びＰＦОＡ,クロロホルム,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
10940,20210810,人見橋,小糸川下流,C,1010,流心（中央）,0.28,千葉県,晴れ,29.8,26.3,1.44,9.63,0.12,,7.8,5.8,1.7,4.9,9,,,0.92,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,6.1,,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10940,20210907,人見橋,小糸川下流,C,1025,流心（中央）,0.19,千葉県,曇り,22.5,21.4,0.96,3.86,0.09,,7.9,7.4,1.2,6.3,13,,,1.1,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.59,>30.0,,0.62,,,,,,,,,,,,,6.2,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10940,20211005,人見橋,小糸川下流,C,830,流心（中央）,0.26,千葉県,晴れ,27.6,21.3,1.3,8.88,0.16,,7.8,6.7,1.1,6.1,25,,,0.82,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,6.8,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10940,20211104,人見橋,小糸川下流,C,900,流心（中央）,0.32,千葉県,晴れ,16.3,16,1.6,5.22,0.06,,7.8,7.3,0.7,3.5,3,1.70E+04,,1,0.14,0.006,<0.00006,0.0038,,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,0.51,0.05,0.6,>30.0,,0.65,<0.005,,,,,,,0.15,,,,,4.3,,2100,,6700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10940,20211207,人見橋,小糸川下流,C,830,流心（中央）,0.47,千葉県,曇り,13.4,11.7,2.39,3.44,0.02,,8,9.9,1.1,5,8,,,1.1,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,4.7,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10940,20220105,人見橋,小糸川下流,C,845,流心（中央）,0.33,千葉県,晴れ,6.1,6,1.69,5.46,0.05,,7.9,9.2,1.3,3.5,7,1.30E+04,,1.7,0.21,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.73,>30.0,,0.79,,,,,,,,0.58,,,,,5.9,,1700,,5700,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10940,20220201,人見橋,小糸川下流,C,1000,流心（中央）,0.39,千葉県,晴れ,8.1,7.4,1.96,3.36,0.03,,7.9,9.9,1.2,3.6,1,,,1.4,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,5.4,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10940,20220304,人見橋,小糸川下流,C,923,流心（中央）,0.27,千葉県,曇り,7.8,10.3,1.35,6.95,0.1,,7.9,8.9,1.4,4.5,5,,,1.3,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.59,>30.0,,0.63,,,,,,,,,,,,,3.2,,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10950,20210510,平川橋,矢那川,,910,流心（中央）,0.07,千葉県,晴れ,24,17.6,0.35,0.52,0.17,,8,9.6,1.8,4.4,7,1.70E+04,,1.4,0.098,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.86,>30.0,,0.89,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10950,20210712,平川橋,矢那川,,828,流心（中央）,0.14,千葉県,晴れ,28.5,22.5,0.29,0.38,0.13,,8,8.1,1.3,4,8,2.40E+05,,1.5,0.06,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.03,0.94,>30.0,,0.97,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
