地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候コード,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域）,ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,大腸菌群数,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,底層ＤＯ,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒,硝酸性窒素,透視度(河川･湖沼),ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン,ジブロモクロロメタン,ブロモホルム生成能,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,ＰＦОＳ,ＰＦОＳ（直鎖体）,ＰＦОＡ,ＰＦОＡ（直鎖体）,ＰＦОＳ及びＰＦОＡ,クロロホルム,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
30020,20210907,東京湾　２,東京湾（４）,C,1313,上層（表層）,0.5,千葉県,晴れ,24,23.2,6.5,,,1.6,7.7,2.1,,2.9,,,,1.2,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,0.25,,,0.29,,,,,,,,0.42,2,0.19,,1.9,1.5,1.3,,29.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20210907,東京湾　２,東京湾（４）,C,1313,下層,5.5,千葉県,晴れ,24,22.4,6.5,,,1.6,7.7,1.7,,2.2,,,,0.89,0.2,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,0.018,0.06,,,0.078,,,,,,,,0.34,,0.17,,,1.3,1.3,,31.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20211005,東京湾　２,東京湾（４）,C,1248,上層（表層）,0.5,千葉県,晴れ,27.5,24.5,7,,,2.4,7.9,5.7,,4,,,,0.82,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,0.2,,,0.23,,,,,,,,0.13,2.5,0.1,,18,2.4,1.6,,27.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20211005,東京湾　２,東京湾（４）,C,1248,下層,6,千葉県,晴れ,27.5,23.4,7,,,2.4,7.8,7.7,,2.9,,,,0.77,0.13,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,0.035,0.16,,,0.19,,,,,,,,0.23,,0.11,,,1.8,1.4,,27.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20211116,東京湾　２,東京湾（４）,C,1316,上層（表層）,0.5,千葉県,晴れ,17,17,7.6,,,2.2,7.8,6.9,,3.1,,4.90E+02,<0.5,1,0.11,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,0.33,,,0.38,,,,,,,,0.22,1.8,0.071,,10,1.6,1.3,,29,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20211116,東京湾　２,東京湾（４）,C,1316,下層,6.6,千葉県,晴れ,17,16.9,7.6,,,2.2,7.8,6,,2.6,,,,0.85,0.089,0.003,,,6,,,,,,,,,,,,,,,,,,,,,,,,,0.054,0.29,,,0.34,,,,,,,,0.18,,0.064,,,1.5,1.2,,29.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20211207,東京湾　２,東京湾（４）,C,1258,上層（表層）,0.5,千葉県,曇り,14.5,13.5,7.2,,,2.8,7.9,7.9,,2.5,,,,1.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,0.54,,,0.59,,,,,,,,0.27,2,0.079,,5.1,1.6,1.3,,26.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20211207,東京湾　２,東京湾（４）,C,1258,下層,6.2,千葉県,曇り,14.5,13.9,7.2,,,2.8,7.9,7.5,,2.2,,,,0.74,0.075,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.3,,,0.34,,,,,,,,0.13,,0.049,,,1.4,1.1,,29.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20220111,東京湾　２,東京湾（４）,C,1332,上層（表層）,0.5,千葉県,雨,6.5,8.8,8,,,2.1,8.1,11,,3.1,,3.30E+02,<0.5,1.3,0.098,0.009,<0.00006,0.0031,,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,,0.07,0.59,,,0.66,<0.005,,,,,,,0.23,1.7,0.051,,24,2.2,1.1,,27.95,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20220111,東京湾　２,東京湾（４）,C,1332,下層,7,千葉県,雨,6.5,9,8,,,2.1,8.1,11,,3,,,,0.66,0.057,0.006,<0.00006,<0.0006,11,,,,,,,,,,,,,,,,,,,,,,,,,0.051,0.31,,,0.36,,,,,,,,0.01,,0.01,,,1.8,0.9,,31.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
