地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域）,ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,大腸菌群数,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,底層ＤＯ,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒素,硝酸性窒素,透視度(河川･湖沼),ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン生成能,ジブロモクロロメタン生成能,ブロモホルム生成能,クロロホルム,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
30010,20200210,東京湾　１,東京湾（９）,B,939,上層（表層）,0.5,千葉県,薄曇り,5,11.2,8.6,,,2.7,7.8,8.7,,1.8,,,,0.87,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,0.37,,,0.4,,,,,,,,<0.01,1,0.047,2.60E+03,11,3.7,3.5,,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20200210,東京湾　１,東京湾（９）,B,939,下層,7.6,千葉県,薄曇り,5,12.2,8.6,,,2.7,7.9,8.2,,1.5,,,,0.68,0.054,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,0.031,0.38,,,0.41,,,,,,,,<0.01,,0.033,,,4.3,3.9,,31.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20200302,東京湾　１,東京湾（９）,B,935,上層（表層）,0.5,千葉県,雨,8,11.7,8.6,,,2.3,8,9.5,,2.2,,,,0.77,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.36,,,0.39,,,,,,,,0.01,1.4,0.02,2.90E+03,9.5,4.2,3.6,,30.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20200302,東京湾　１,東京湾（９）,B,935,下層,7.6,千葉県,雨,8,11.7,8.6,,,2.3,8,9.1,,1.9,,,,0.72,0.047,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,0.029,0.34,,,0.36,,,,,,,,<0.01,,0.019,,,3.7,3,,31.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20190419,東京湾　２,東京湾（４）,C,1513,上層（表層）,0.5,千葉県,晴れ,20.2,17.2,6.6,,,2,8.1,9.5,,3.1,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,0.4,,,0.42,,,,,,,,0.22,2.6,0.062,,19,2,1.5,,30.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20190419,東京湾　２,東京湾（４）,C,1513,下層,5.6,千葉県,晴れ,20.2,16.3,6.6,,,2,8.1,8.5,,2.9,,,,0.75,0.076,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.38,,,0.4,,,,,,,,0.12,,0.055,,,1.7,1.3,,30.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20190524,東京湾　２,東京湾（４）,C,1558,上層（表層）,0.5,千葉県,快晴,25.5,23.6,6,,,2.4,8.4,8.2,,3.9,,7.90E+01,<0.5,0.46,0.074,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,0.09,,,0.1,,,,,,,,0.01,2.3,0.035,,26,5.3,4.3,,28.37,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20190524,東京湾　２,東京湾（４）,C,1558,下層,5,千葉県,快晴,25.5,20.1,6,,,2.4,8.3,4.7,,3.4,,,,0.53,0.092,0.001,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,0.016,0.06,,,0.076,,,,,,,,0.05,,0.051,,,4.7,1,,28.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20190610,東京湾　２,東京湾（４）,C,1408,上層（表層）,0.5,千葉県,雨,17.6,20.1,6.3,,,1.5,7.9,2.5,,3.3,,,,0.94,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,0.04,,,0.056,,,,,,,,0.49,2.2,0.14,,4.9,2.1,1.7,,29.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20190610,東京湾　２,東京湾（４）,C,1408,下層,5.3,千葉県,雨,17.6,18.1,6.3,,,1.5,7.9,0.5,,2.7,,,,1,0.18,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.01,,,0.015,,,,,,,,0.32,,0.15,,,2.1,1.8,,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20190709,東京湾　２,東京湾（４）,C,1448,上層（表層）,0.5,千葉県,曇り,21.8,20.9,6.2,,,1.9,7.8,3.8,,3.1,,1.30E+03,<0.5,0.81,0.16,0.001,<0.00006,<0.0006,,<0.0003,<0.1,<0.001,<0.005,0.002,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,,0.016,0.04,,,0.056,<0.005,<0.005,<0.01,<0.1,<0.1,<0.02,,0.22,1.9,0.14,,13,1.7,1.2,,30.88,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20190709,東京湾　２,東京湾（４）,C,1448,下層,5.2,千葉県,曇り,21.8,20.1,6.2,,,1.9,7.8,1.6,,2.4,,,,0.82,0.15,<0.001,<0.00006,<0.0006,1.6,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,0.02,,,,,,,,0.34,,0.14,,,1.5,0.8,,31.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20190806,東京湾　２,東京湾（４）,C,1528,上層（表層）,0.5,千葉県,晴れ,25,31.8,6,,,0.5,8.7,10,,5.1,,,,0.65,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,<0.01,,,0.015,,,,,,,,0.02,3.3,0.016,,68,5.8,2.7,,22.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20190806,東京湾　２,東京湾（４）,C,1528,下層,5,千葉県,晴れ,25,28,6,,,0.5,8.5,3,,4.4,,,,0.82,0.12,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,0.015,0.02,,,0.035,,,,,,,,0.14,,0.044,,,4.5,1.7,,23.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20190905,東京湾　２,東京湾（４）,C,1246,上層（表層）,0.5,千葉県,晴れ,30.5,28.2,6.5,,,1.9,7.9,3.9,,3.5,,,,0.8,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057,0.07,,,0.12,,,,,,,,0.12,2.7,0.13,,10,3.7,2.3,,25.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20190905,東京湾　２,東京湾（４）,C,1246,下層,5.5,千葉県,晴れ,30.5,25,6.5,,,1.9,7.8,0.5,,2.4,,,,0.64,0.15,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.006,0.01,,,0.016,,,,,,,,0.21,,0.13,,,5.4,2.8,,30.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20191008,東京湾　２,東京湾（４）,C,1314,上層（表層）,0.5,千葉県,晴れ,25.2,24.1,7,,,2,8,5.3,,3.1,,,,0.82,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,0.14,,,0.17,,,,,,,,0.2,2.2,0.088,,4.6,4.4,4.2,,28.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20191008,東京湾　２,東京湾（４）,C,1314,下層,6,千葉県,晴れ,25.2,23.5,7,,,2,8,2.8,,2.9,,,,0.7,0.11,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.1,,,0.12,,,,,,,,0.21,,0.083,,,4.5,3.4,,29.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20191107,東京湾　２,東京湾（４）,C,1315,上層（表層）,0.5,千葉県,晴れ,19,20.9,6.8,,,1.5,7.7,3.7,,2.8,,1.70E+02,<0.5,1,0.11,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,0.46,,,0.49,,,,,,,,0.04,2,0.086,,15,3.8,2.7,,30.05,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20191107,東京湾　２,東京湾（４）,C,1315,下層,5.8,千葉県,晴れ,19,20.1,6.8,,,1.5,7.7,3.5,,1.8,,,,0.68,0.074,0.003,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,0.029,0.38,,,0.4,,,,,,,,<0.01,,0.052,,,3.7,2.1,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20191210,東京湾　２,東京湾（４）,C,1435,上層（表層）,0.5,千葉県,曇り,13.2,13.8,7,,,1.5,7.8,7.7,,2,,,,0.88,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,0.36,,,0.42,,,,,,,,0.05,1.5,0.062,,1.9,3.7,3.6,,30.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20191210,東京湾　２,東京湾（４）,C,1435,下層,6,千葉県,曇り,13.2,13.3,7,,,1.5,7.8,7.7,,0.9,,,,0.86,0.079,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.35,,,0.41,,,,,,,,0.07,,0.061,,,3.9,3.7,,30.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20200109,東京湾　２,東京湾（４）,C,1416,上層（表層）,0.5,千葉県,晴れ,12.1,10.9,6.9,,,2.4,7.9,9,,1.9,,4.90E+01,<0.5,0.88,0.062,0.005,<0.00006,<0.0006,,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,,0.048,0.41,,,0.45,<0.005,,,,,,,0.03,1.2,0.048,,1.6,4.4,3.5,,31.11,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20200109,東京湾　２,東京湾（４）,C,1416,下層,5.9,千葉県,晴れ,12.1,10.9,6.9,,,2.4,7.9,9,,1.8,,,,0.85,0.062,0.004,<0.00006,<0.0006,9,,,,,,,,,,,,,,,,,,,,,,,,,0.047,0.39,,,0.43,,,,,,,,0.06,,0.047,,,4.6,2.6,,31.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20200210,東京湾　２,東京湾（４）,C,1428,上層（表層）,0.5,千葉県,晴れ,8,10,6.5,,,2.3,7.9,10,,2.3,,,,0.98,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044,0.49,,,0.53,,,,,,,,0.03,1.4,0.043,,14,3.7,3.3,,30.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20200210,東京湾　２,東京湾（４）,C,1428,下層,5.5,千葉県,晴れ,8,9.2,6.5,,,2.3,7.9,9.8,,2.1,,,,0.85,0.068,,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,0.039,0.43,,,0.46,,,,,,,,<0.01,,0.036,,,4,3.2,,30.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20200302,東京湾　２,東京湾（４）,C,1332,上層（表層）,0.5,千葉県,曇り,7,11.6,5.9,,,1.5,8,9.2,,2.8,,,,0.88,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,0.41,,,0.44,,,,,,,,0.03,1.8,0.025,,10,3.6,3.2,,30.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20200302,東京湾　２,東京湾（４）,C,1332,下層,4.9,千葉県,曇り,7,11.6,5.9,,,1.5,8,9.6,,2.1,,,,0.85,0.062,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,0.032,0.41,,,0.44,,,,,,,,0.05,,0.024,,,4.4,3.6,,30.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30030,20190419,船橋　１,東京湾（３）,C,952,上層（表層）,0.5,船橋市,薄曇り,22.2,17.5,13.7,,,2.4,8.2,11,,3.2,,,,0.9,0.073,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,0.42,,,0.44,,,,,,,,<0.01,2.6,0.021,,20,2.7,2,,29.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30030,20190419,船橋　１,東京湾（３）,C,1004,下層,12.7,船橋市,薄曇り,22.2,15.7,13.7,,,2.4,7.9,5.2,,2.6,,,,0.98,0.13,0.005,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,0.024,0.21,,,0.23,,,,,,,,0.4,1.5,0.088,,,2,1,,31.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30030,20190510,船橋　１,東京湾（３）,C,942,上層（表層）,0.5,船橋市,晴れ,24,19.2,14.4,,,1.2,8.4,10,,8.1,,,,1.2,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,0.31,,,0.34,,,,,,,,0.01,4.3,0.046,,36,3.9,2,,27.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
